09067020=276
09057500=70
09066325=68
09070000=307
09070500=1334
09085000=543
09081600=215
09080400=111
FRYTHOCO=84
09163500=3506
09058000=510
09260050=2583
09251000=1327
09247600=1282
09239500=396
09047500=24
09085100=1996
09144250=1017
09128000=705
09114500=360
09180000=185
09171100=13
09168730=9
09165000=144
09124500=145
09110000=168
09132500=593
09059500=80
09234500=860
09261000=4254
09315000=2497
09306290=529
09172500=161
09174600=95
09177000=126
09361500=622
09364500=194
09349800=439
09342500=755
09379500=841
09147500=103
09126000=24
09238900=47
09105000=44
09405500=43
09132095=579
