PSPC2
SAN JUAN - PAGOSA SPRINGS                        
Daily Average Forecast Flow (ending at given date/time)
Units: CFSD
Created: 5/2/2021 14Z

DATE,TIME,FLOW
5/3/2021,12Z,1026
5/4/2021,12Z,866
5/5/2021,12Z,728
5/6/2021,12Z,755
5/7/2021,12Z,896
5/8/2021,12Z,1053
5/9/2021,12Z,1030
5/10/2021,12Z,882
5/11/2021,12Z,772
5/12/2021,12Z,724
