GRVU1
GREEN - GREEN RIVER, UT                          
Daily Average Forecast Flow (ending at given date/time)
Units: CFSD
Created: 5/2/2021 15Z

DATE,TIME,FLOW
5/3/2021,12Z,2062
5/4/2021,12Z,2208
5/5/2021,12Z,2399
5/6/2021,12Z,2497
5/7/2021,12Z,3007
5/8/2021,12Z,3830
5/9/2021,12Z,4278
5/10/2021,12Z,4002
5/11/2021,12Z,3428
5/12/2021,12Z,3159
