CCUC2
COLORADO - CO-UT STATE LINE, NR                  
Daily Average Forecast Flow (ending at given date/time)
Units: CFSD
Created: 5/2/2021 15Z

DATE,TIME,FLOW
5/3/2021,12Z,2862
5/4/2021,12Z,3246
5/5/2021,12Z,3700
5/6/2021,12Z,3506
5/7/2021,12Z,2532
5/8/2021,12Z,2500
5/9/2021,12Z,3444
5/10/2021,12Z,4838
5/11/2021,12Z,4614
5/12/2021,12Z,3783
