09067020=357
09057500=70
09066325=76
09070000=498
09070500=1894
09085000=772
09081600=291
09080400=111
FRYTHOCO=139
09163500=3246
09058000=629
09260050=3032
09251000=2371
09247600=2007
09239500=453
09047500=23
09085100=2799
09144250=1305
09128000=705
09114500=443
09180000=214
09171100=13
09168730=9
09165000=211
09124500=180
09110000=174
09132500=847
09059500=141
09234500=860
09261000=3220
09315000=2208
09306290=786
09172500=179
09174600=133
09177000=182
09361500=833
09364500=491
09349800=636
09342500=866
09379500=530
09147500=119
09126000=24
09238900=48
09105000=44
09405500=44
09132095=803
