09067020=254
09057500=70
09066325=58
09070000=316
09070500=1507
09085000=577
09081600=209
09080400=111
FRYTHOCO=90
09163500=3700
09058000=506
09260050=3374
09251000=1922
09247600=1478
09239500=404
09047500=23
09085100=2288
09144250=1386
09128000=705
09114500=350
09180000=207
09171100=13
09168730=9
09165000=128
09124500=168
09110000=165
09132500=614
09059500=81
09234500=860
09261000=3942
09315000=2399
09306290=646
09172500=160
09174600=107
09177000=166
09361500=591
09364500=398
09349800=459
09342500=728
09379500=561
09147500=118
09126000=24
09238900=46
09105000=44
09405500=43
09132095=571
