DRGC2
ANIMAS - DURANGO                                 
Daily Average Forecast Flow (ending at given date/time)
Units: CFSD
Created: 5/2/2021 14Z

DATE,TIME,FLOW
5/3/2021,12Z,824
5/4/2021,12Z,833
5/5/2021,12Z,591
5/6/2021,12Z,622
5/7/2021,12Z,818
5/8/2021,12Z,1134
5/9/2021,12Z,1124
5/10/2021,12Z,864
5/11/2021,12Z,691
5/12/2021,12Z,608
