09067020=383
09057500=70
09066325=111
09070000=363
09070500=1405
09085000=614
09081600=292
09080400=111
FRYTHOCO=115
09163500=2532
09058000=552
09260050=1744
09251000=1263
09247600=1323
09239500=485
09047500=35
09085100=2081
09144250=1043
09128000=705
09114500=484
09180000=157
09171100=13
09168730=9
09165000=210
09124500=178
09110000=184
09132500=701
09059500=99
09234500=860
09261000=3457
09315000=3007
09306290=581
09172500=216
09174600=126
09177000=141
09361500=818
09364500=289
09349800=504
09342500=896
09379500=712
09147500=116
09126000=24
09238900=74
09105000=58
09405500=43
09132095=705
