SMPC2
SAN MIGUEL - PLACERVILLE, NR                     
Daily Average Forecast Flow (ending at given date/time)
Units: CFSD
Created: 5/2/2021 14Z

DATE,TIME,FLOW
5/3/2021,12Z,185
5/4/2021,12Z,179
5/5/2021,12Z,160
5/6/2021,12Z,161
5/7/2021,12Z,216
5/8/2021,12Z,279
5/9/2021,12Z,242
5/10/2021,12Z,194
5/11/2021,12Z,163
5/12/2021,12Z,153
