09067020=493
09057500=70
09066325=125
09070000=638
09070500=2149
09085000=915
09081600=298
09080400=111
FRYTHOCO=124
09163500=4838
09058000=728
09260050=3138
09251000=2333
09247600=1982
09239500=493
09047500=42
09085100=3243
09144250=1461
09128000=705
09114500=716
09180000=285
09171100=13
09168730=9
09165000=156
09124500=220
09110000=202
09132500=841
09059500=148
09234500=860
09261000=3000
09315000=4002
09306290=862
09172500=194
09174600=140
09177000=180
09361500=864
09364500=659
09349800=495
09342500=882
09379500=846
09147500=110
09126000=24
09238900=69
09105000=55
09405500=42
09132095=819
