FPTC2
FRYING PAN - THOMASVILLE, NR                     
Daily Average Forecast Flow (ending at given date/time)
Units: CFSD
Created: 5/2/2021 15Z

DATE,TIME,FLOW
5/3/2021,12Z,163
5/4/2021,12Z,139
5/5/2021,12Z,90
5/6/2021,12Z,84
5/7/2021,12Z,115
5/8/2021,12Z,175
5/9/2021,12Z,177
5/10/2021,12Z,124
5/11/2021,12Z,90
5/12/2021,12Z,80
