09067020=438
09057500=70
09066325=129
09070000=524
09070500=1658
09085000=782
09081600=350
09080400=111
FRYTHOCO=163
09163500=2862
09058000=608
09260050=2293
09251000=2053
09247600=2106
09239500=583
09047500=31
09085100=2625
09144250=1129
09128000=705
09114500=465
09180000=132
09171100=13
09168730=9
09165000=231
09124500=154
09110000=166
09132500=633
09059500=167
09234500=860
09261000=2536
09315000=2062
09306290=618
09172500=185
09174600=116
09177000=165
09361500=824
09364500=333
09349800=750
09342500=1026
09379500=557
09147500=115
09126000=24
09238900=74
09105000=44
09405500=45
09132095=601
