09067020=646
09057500=70
09066325=175
09070000=780
09070500=2282
09085000=1124
09081600=418
09080400=111
FRYTHOCO=177
09163500=3444
09058000=764
09260050=2163
09251000=2253
09247600=2230
09239500=636
09047500=54
09085100=3512
09144250=1550
09128000=705
09114500=843
09180000=272
09171100=13
09168730=9
09165000=219
09124500=273
09110000=208
09132500=946
09059500=177
09234500=860
09261000=2489
09315000=4278
09306290=966
09172500=242
09174600=205
09177000=256
09361500=1124
09364500=808
09349800=588
09342500=1030
09379500=499
09147500=135
09126000=24
09238900=97
09105000=105
09405500=42
09132095=927
