09067020=364
09057500=70
09066325=96
09070000=427
09070500=1510
09085000=667
09081600=240
09080400=111
FRYTHOCO=80
09163500=3783
09058000=530
09260050=2380
09251000=1408
09247600=1302
09239500=414
09047500=38
09085100=2324
09144250=1171
09128000=705
09114500=603
09180000=125
09171100=12
09168730=9
09165000=106
09124500=169
09110000=199
09132500=705
09059500=94
09234500=860
09261000=3958
09315000=3159
09306290=593
09172500=153
09174600=71
09177000=89
09361500=608
09364500=293
09349800=373
09342500=724
09379500=887
09147500=92
09126000=24
09238900=57
09105000=41
09405500=42
09132095=693
