SKEC2
SNAKE - MONTEZUMA, NR                            
Daily Average Forecast Flow (ending at given date/time)
Units: CFSD
Created: 5/2/2021 19Z

DATE,TIME,FLOW
5/3/2021,12Z,31
5/4/2021,12Z,23
5/5/2021,12Z,23
5/6/2021,12Z,24
5/7/2021,12Z,35
5/8/2021,12Z,57
5/9/2021,12Z,54
5/10/2021,12Z,42
5/11/2021,12Z,38
5/12/2021,12Z,38
